id,title,category,reference_description,source_type
1,Заливка фундамента,бетонные,Выполнить подготовку основания и заливку фундамента с контролем уровня и качества поверхности.,simulated
2,Бетонирование ростверка,бетонные,Подготовить опалубку и арматурный каркас ростверка затем выполнить бетонирование с проверкой геометрии.,simulated
3,Устройство монолитной плиты,бетонные,Выполнить армирование и заливку монолитной плиты с последующим выравниванием поверхности.,simulated
4,Армирование перекрытия,бетонные,Собрать арматурный каркас перекрытия по разметке и подготовить конструкцию к бетонированию.,simulated
5,Монтаж опалубки колонн,бетонные,Собрать и закрепить опалубку колонн с контролем вертикальности и готовности к заливке.,simulated
6,Заливка бетонной стяжки,бетонные,Подготовить основание пола и выполнить заливку стяжки с выдерживанием проектного уровня.,simulated
7,Бетонирование лестничного марша,бетонные,Выполнить армирование и бетонирование лестничного марша с проверкой формы ступеней.,simulated
8,Устройство бетонной подготовки,бетонные,Очистить основание и выполнить бетонную подготовку под последующий монтаж конструкций.,simulated
9,Заливка отмостки,бетонные,Подготовить основание вокруг здания и выполнить заливку отмостки с заданным уклоном.,simulated
10,Бетонирование подпорной стены,бетонные,Смонтировать опалубку и выполнить бетонирование подпорной стены с контролем устойчивости конструкции.,simulated
11,Армирование фундамента,бетонные,Собрать арматурный каркас фундамента и подготовить выпускные элементы к последующей заливке.,simulated
12,Установка закладных в бетоне,бетонные,Разметить места установки закладных деталей и закрепить их перед бетонированием конструкции.,simulated
13,Заливка перемычек,бетонные,Подготовить опалубку и выполнить заливку перемычек с проверкой опирания и уровня.,simulated
14,Ремонт бетонной поверхности,бетонные,Очистить дефектные участки бетона и восстановить поверхность ремонтным составом.,simulated
15,Устройство бетонного пояса,бетонные,Выполнить армирование и бетонирование монолитного пояса с контролем непрерывности контура.,simulated
16,Бетонирование приямка,бетонные,Подготовить приямок и выполнить бетонирование стенок и основания с проверкой герметичности.,simulated
17,Затирка бетонного пола,бетонные,Выполнить затирку бетонного пола после набора начальной прочности и проверить ровность поверхности.,simulated
18,Демонтаж опалубки плиты,бетонные,Аккуратно снять опалубку плиты после выдержки бетона и проверить состояние кромок.,simulated
19,Подливка под колонны,бетонные,Подготовить контактные поверхности и выполнить подливку под колонны без пустот и расслоений.,simulated
20,Заливка монолитных участков,бетонные,Выполнить заливку монолитных участков с уплотнением смеси и контролем примыканий.,simulated
21,Уход за бетоном,бетонные,Организовать увлажнение и защиту свежего бетона на период набора прочности.,simulated
22,Бетонирование армопояса,бетонные,Подготовить арматуру и опалубку армопояса затем выполнить заливку с контролем уровня.,simulated
23,Устройство бетонных ступеней,бетонные,Собрать форму ступеней и выполнить бетонирование с проверкой размеров и поверхности.,simulated
24,Заливка чаши приямка,бетонные,Выполнить заливку чаши приямка с уплотнением смеси и контролем защитного слоя.,simulated
25,Восстановление защитного слоя,бетонные,Очистить оголенную арматуру и восстановить защитный слой бетона ремонтным раствором.,simulated
26,Монтаж кровли,монтажные,Подготовить основание и выполнить монтаж кровельного покрытия с проверкой примыканий.,simulated
27,Установка оконных блоков,монтажные,Смонтировать оконные блоки в проемах и проверить крепление герметизацию и уровень.,simulated
28,Монтаж дверных коробок,монтажные,Установить дверные коробки по разметке и закрепить их с контролем геометрии проема.,simulated
29,Сборка металлокаркаса,монтажные,Выполнить сборку элементов металлокаркаса и проверить соединения перед фиксацией.,simulated
30,Монтаж перегородок,монтажные,Смонтировать перегородки по разметке с контролем вертикальности и прочности креплений.,simulated
31,Установка лестничных ограждений,монтажные,Установить лестничные ограждения и проверить надежность креплений и высоту элементов.,simulated
32,Монтаж строительных лесов,монтажные,Собрать строительные леса и проверить устойчивость настилы и защитные элементы.,simulated
33,Установка ворот,монтажные,Смонтировать ворота в подготовленном проеме и проверить ход створок и фиксацию.,simulated
34,Монтаж навеса,монтажные,Собрать каркас навеса и закрепить покрытие с контролем уклона и устойчивости.,simulated
35,Установка фасадных кассет,монтажные,Выполнить монтаж фасадных кассет по подсистеме с контролем швов и плоскости.,simulated
36,Монтаж сэндвич-панелей,монтажные,Установить сэндвич-панели на каркас и проверить стыки крепеж и герметичность.,simulated
37,Монтаж стропильной системы,монтажные,Собрать стропильную систему по проектной схеме и проверить узлы опирания.,simulated
38,Установка водостоков,монтажные,Смонтировать водосточную систему и проверить уклоны желобов и крепление труб.,simulated
39,Монтаж козырька входа,монтажные,Установить каркас и покрытие козырька входа с проверкой креплений к стене.,simulated
40,Установка люков,монтажные,Смонтировать люки в подготовленных проемах и проверить прилегание и работоспособность.,simulated
41,Монтаж воротной автоматики,монтажные,Установить элементы автоматики ворот и подготовить систему к подключению и настройке.,simulated
42,Установка балконных рам,монтажные,Смонтировать балконные рамы и проверить крепление герметичность и открывание створок.,simulated
43,Монтаж закладных деталей,монтажные,Установить закладные детали по разметке и закрепить их перед последующими работами.,simulated
44,Сборка опорного каркаса,монтажные,Выполнить сборку опорного каркаса и проверить диагонали уровень и узлы крепления.,simulated
45,Монтаж вентиляционных решеток,монтажные,Установить вентиляционные решетки в подготовленных местах и проверить плотность посадки.,simulated
46,Установка подоконников,монтажные,Смонтировать подоконники с заданным уклоном и проверить примыкание к оконным блокам.,simulated
47,Монтаж ограждения площадки,монтажные,Собрать ограждение площадки и проверить устойчивость секций и надежность соединений.,simulated
48,Установка противопожарных дверей,монтажные,Установить противопожарные двери и проверить зазоры доводчики и фиксацию коробки.,simulated
49,Монтаж подвесного потолка,монтажные,Собрать каркас подвесного потолка и подготовить его к установке облицовочных элементов.,simulated
50,Сборка модульной бытовки,монтажные,Выполнить сборку модульной бытовки и проверить стыковку блоков и устойчивость конструкции.,simulated
51,Штукатурка стен,отделочные,Подготовить поверхность стен и нанести штукатурный слой с контролем плоскости.,simulated
52,Шпаклевка потолка,отделочные,Выполнить шпаклевку потолка после подготовки основания и проверить качество поверхности.,simulated
53,Окраска стен,отделочные,Подготовить стены и нанести лакокрасочное покрытие в заданном цвете без видимых дефектов.,simulated
54,Укладка плитки пола,отделочные,Выполнить укладку плитки пола по разметке с контролем швов и уровня покрытия.,simulated
55,Облицовка санузла плиткой,отделочные,Подготовить основание и выполнить облицовку санузла плиткой с затиркой швов.,simulated
56,Грунтовка стен,отделочные,Очистить стены и нанести грунтовочный состав перед последующими отделочными работами.,simulated
57,Поклейка обоев,отделочные,Подготовить стены и выполнить поклейку обоев с подгонкой стыков и рисунка.,simulated
58,Монтаж плинтусов,отделочные,Установить плинтусы по периметру помещения и проверить примыкания в углах.,simulated
59,Укладка ламината,отделочные,Подготовить основание и выполнить укладку ламината с компенсационными зазорами.,simulated
60,Затирка плиточных швов,отделочные,Выполнить затирку плиточных швов и очистить поверхность облицовки после работ.,simulated
61,Шлифовка стен,отделочные,Выполнить шлифовку стен после шпаклевки и подготовить поверхность к окраске.,simulated
62,Покраска фасада,отделочные,Подготовить фасадную поверхность и выполнить окраску с контролем равномерности покрытия.,simulated
63,Устройство откосов,отделочные,Сформировать оконные откосы и выполнить финишную отделку с проверкой геометрии.,simulated
64,Финишная шпаклевка стен,отделочные,Нанести финишный шпаклевочный слой и проверить готовность стен к окраске.,simulated
65,Гидроизоляция санузла,отделочные,Подготовить основание санузла и нанести гидроизоляционный слой перед облицовкой.,simulated
66,Укладка керамогранита,отделочные,Выполнить укладку керамогранита по разметке с контролем плоскости и ширины швов.,simulated
67,Покраска потолка,отделочные,Подготовить потолок и нанести финишное покрытие без пропусков и подтеков.,simulated
68,Декоративная штукатурка,отделочные,Нанести декоративную штукатурку на подготовленное основание и выдержать единый рисунок.,simulated
69,Ремонт штукатурного слоя,отделочные,Удалить слабые участки штукатурки и восстановить поверхность ремонтным составом.,simulated
70,Укладка линолеума,отделочные,Подготовить основание и уложить линолеум с фиксацией стыков и примыканий.,simulated
71,Монтаж потолочных панелей,отделочные,Установить потолочные панели на подготовленный каркас и проверить ровность рядов.,simulated
72,Обработка углов стен,отделочные,Установить угловые профили и выполнить выравнивание углов перед финишной отделкой.,simulated
73,Подготовка стен под покраску,отделочные,Очистить и выровнять стены перед покраской с устранением локальных дефектов.,simulated
74,Облицовка лестничных маршей,отделочные,Выполнить облицовку лестничных маршей с контролем кромок ступеней и швов.,simulated
75,Установка декоративных молдингов,отделочные,Смонтировать декоративные молдинги по разметке и проверить стыки и примыкания.,simulated
76,Прокладка электропроводки,инженерные,Выполнить разметку трасс и проложить электропроводку с подготовкой точек подключения.,simulated
77,Монтаж водоснабжения,инженерные,Смонтировать трубопроводы водоснабжения и проверить соединения на герметичность.,simulated
78,Монтаж канализации,инженерные,Уложить канализационные трубы с заданным уклоном и проверить соединительные узлы.,simulated
79,Установка радиаторов,инженерные,Смонтировать радиаторы отопления и подготовить их к подключению и опрессовке.,simulated
80,Монтаж вентиляции,инженерные,Собрать вентиляционные каналы и проверить крепление трасс и узлы примыкания.,simulated
81,Прокладка кабельных трасс,инженерные,Разметить и проложить кабельные трассы с учетом точек подключения оборудования.,simulated
82,Установка электрощита,инженерные,Смонтировать электрощит и подготовить линии к подключению и маркировке.,simulated
83,Подключение освещения,инженерные,Выполнить подключение светильников и проверить работоспособность линий освещения.,simulated
84,Монтаж теплого пола,инженерные,Уложить контуры теплого пола и проверить целостность системы перед закрытием.,simulated
85,Опрессовка отопления,инженерные,Провести опрессовку системы отопления и зафиксировать результаты проверки герметичности.,simulated
86,Установка сантехники,инженерные,Смонтировать сантехнические приборы и проверить подключение к воде и канализации.,simulated
87,Монтаж пожарной сигнализации,инженерные,Установить элементы пожарной сигнализации и подготовить линии к настройке.,simulated
88,Прокладка слаботочных линий,инженерные,Проложить слаботочные линии по трассам и промаркировать точки подключения.,simulated
89,Установка насосного узла,инженерные,Смонтировать насосный узел и проверить обвязку запорную арматуру и крепление.,simulated
90,Монтаж вентилятора,инженерные,Установить вентилятор в проектной точке и проверить крепление и подключение питания.,simulated
91,Подключение розеточных групп,инженерные,Выполнить подключение розеточных групп и проверить правильность коммутации.,simulated
92,Монтаж стояков отопления,инженерные,Смонтировать стояки отопления и проверить соединения перед опрессовкой системы.,simulated
93,Промывка трубопроводов,инженерные,Выполнить промывку трубопроводов и подготовить систему к рабочему запуску.,simulated
94,Установка счетчиков воды,инженерные,Смонтировать счетчики воды и проверить направление потока пломбировку и доступность.,simulated
95,Настройка автоматики котельной,инженерные,Проверить подключения автоматики котельной и выполнить первичную настройку режимов.,simulated
96,Монтаж дренажной системы,инженерные,Уложить элементы дренажной системы и проверить уклоны и точки отвода воды.,simulated
97,Подключение вытяжных зонтов,инженерные,Смонтировать вытяжные зонты и подключить их к вентиляционным каналам.,simulated
98,Установка распределительных коробок,инженерные,Установить распределительные коробки и подготовить кабели к коммутации.,simulated
99,Проверка заземления,инженерные,Выполнить проверку контура заземления и оформить результаты измерений для дальнейшей приемки.,simulated
100,Монтаж системы дымоудаления,инженерные,Смонтировать элементы системы дымоудаления и проверить крепления и трассировку каналов.,simulated
101,Заявка на бетон,снабженческие,Подготовить заявку на поставку бетона с указанием объема марки и времени доставки.,simulated
102,Поставка арматуры,снабженческие,Организовать поставку арматуры на объект и проверить соответствие заявке при приемке.,simulated
103,Доставка кирпича,снабженческие,Обеспечить доставку кирпича на объект и передать материал в зону складирования.,simulated
104,Приемка плитки,снабженческие,Проверить поступившую плитку по количеству номенклатуре и состоянию упаковки.,simulated
105,Заказ крепежа,снабженческие,Сформировать заказ крепежа для монтажных работ и согласовать сроки поставки.,simulated
106,Выдача материалов бригаде,снабженческие,Подготовить и выдать материалы бригаде с фиксацией количества и назначения работ.,simulated
107,Инвентаризация склада,снабженческие,Провести инвентаризацию складских остатков и обновить данные по материалам.,simulated
108,Перемещение лесов,снабженческие,Организовать перемещение строительных лесов на новый участок работ и проверить комплектность.,simulated
109,Возврат лишнего материала,снабженческие,Оформить возврат лишнего материала на склад и зафиксировать фактическое количество.,simulated
110,Поставка кабеля,снабженческие,Организовать поставку кабеля нужного сечения и передать его электромонтажной бригаде.,simulated
111,Заказ сухих смесей,снабженческие,Сформировать заказ сухих смесей для отделочных работ с учетом текущего расхода.,simulated
112,Приемка оконных блоков,снабженческие,Проверить оконные блоки при поставке и зафиксировать комплектность и повреждения.,simulated
113,Доставка радиаторов,снабженческие,Обеспечить доставку радиаторов отопления и передать их на участок монтажа.,simulated
114,Учет расхода бетона,снабженческие,Сверить фактический расход бетона по накладным и передать данные ответственному лицу.,simulated
115,Закупка гидроизоляции,снабженческие,Подготовить закупку гидроизоляционных материалов и согласовать дату доставки.,simulated
116,Поставка металлопрофиля,снабженческие,Организовать поставку металлопрофиля и проверить его соответствие спецификации.,simulated
117,Выдача инструмента,снабженческие,Выдать инструмент исполнителям и зафиксировать ответственное лицо и срок возврата.,simulated
118,Проверка остатков арматуры,снабженческие,Проверить остатки арматуры на складе и подготовить решение по дозакупке.,simulated
119,Заказ фасадных кассет,снабженческие,Сформировать заказ фасадных кассет с учетом спецификации и графика монтажа.,simulated
120,Доставка строительного мусора,снабженческие,Организовать вывоз строительного мусора с объекта и подтвердить выполнение рейса.,simulated
121,Приемка сантехнических приборов,снабженческие,Проверить поступившие сантехнические приборы и передать комплект на участок монтажа.,simulated
122,Поставка утеплителя,снабженческие,Организовать поставку утеплителя и проверить сохранность материала при разгрузке.,simulated
123,Комплектация заявки МТО,снабженческие,Собрать позицию заявки МТО по материалам и передать ее на согласование снабжению.,simulated
124,Списание поврежденных материалов,снабженческие,Оформить списание поврежденных материалов с указанием причины и фактического объема.,simulated
125,Разгрузка поставки,снабженческие,Организовать разгрузку поставки и распределить материалы по местам временного хранения.,simulated
126,Планерка бригад,организационные,Провести планерку бригад и согласовать задачи на ближайший рабочий период.,simulated
127,Согласование графика работ,организационные,Актуализировать график работ и согласовать изменения с ответственными участниками.,simulated
128,Распределение задач,организационные,Распределить задачи между исполнителями с учетом текущей загрузки и готовности участков.,simulated
129,Контроль выполнения этапа,организационные,Проверить выполнение этапа работ и зафиксировать замечания для устранения.,simulated
130,Приемка скрытых работ,организационные,Организовать приемку скрытых работ и подготовить необходимые отметки для отчетности.,simulated
131,Инструктаж по безопасности,организационные,Провести инструктаж по безопасности перед началом работ и зафиксировать участников.,simulated
132,Координация подрядчиков,организационные,Согласовать действия подрядчиков на участке и исключить пересечение работ.,simulated
133,Обход объекта,организационные,Провести обход объекта и определить текущие отклонения по срокам и качеству работ.,simulated
134,Подготовка наряда,организационные,Подготовить наряд на выполнение работ и передать его ответственному исполнителю.,simulated
135,Согласование доступа на объект,организационные,Организовать доступ исполнителей на объект и проверить наличие необходимых разрешений.,simulated
136,Формирование отчета по задачам,организационные,Собрать данные по выполненным задачам и подготовить отчет для руководителя работ.,simulated
137,Назначение ответственного,организационные,Назначить ответственного за выполнение задачи и зафиксировать контакт для координации.,simulated
138,Проверка готовности участка,организационные,Проверить готовность участка к началу работ и подтвердить отсутствие блокирующих факторов.,simulated
139,Согласование изменений проекта,организационные,Передать изменения проекта на согласование и зафиксировать принятое решение.,simulated
140,Контроль устранения замечаний,организационные,Проверить устранение замечаний и обновить статус задачи после повторного осмотра.,simulated
